Year	Month	Tmax	Tmin	PAR	Prec	CO2
1500-3000	1	-20.05513	-32.05513	128.2321981	16.91625142	385
1500-3000	2	-15.87094727	-27.87094727	403.5712521	15.43330119	385
1500-3000	3	-7.42342224	-19.42342224	864.6355271	24.18507285	385
1500-3000	4	2.358337402	-9.6416626	1284.864289	30.89500159	385
1500-3000	5	14.16079102	2.160791016	1589.630289	47.54593572	385
1500-3000	6	23.53770752	11.53770752	1879.377712	72.30104209	385
1500-3000	7	25.81027832	13.81027832	1662.997529	76.59485273	385
1500-3000	8	20.46248779	8.462487793	1135.630938	53.99815342	385
1500-3000	9	12.98308106	0.983081055	672.0868246	38.57187548	385
1500-3000	10	3.390881348	-8.60911865	400.6905609	41.77830664	385
1500-3000	11	-10.4381897	-22.4381897	188.8901782	23.98155004	385
1500-3000	12	-17.40515747	-29.40515747	76.90303414	23.00190503	385
